b_bank,b_ifsc,b_micr,b_branch
HDFC BANK LTD,HDFC0000001,400240003,TULSIANI CHMBRS - NARIMAN PT
HDFC BANK LTD,HDFC0000031,641240002,COIMBATORE - TRICHY ROAD
ICICI BANK LTD,ICIC0000004,400229002,MUMBAI - NARIMAN POINT 
CITIBANK NA,CITI0000002,110037002,NEW DELHI
STATE BANK OF INDIA,SBIN0013264,NON-MICR,JUHU VERSOVA LINK ROAD
STATE BANK OF INDIA,SBIN0013340,NON-MICR,DIAMOND GARDEN (CHEMBUR)
STATE BANK OF INDIA,SBIN0014897,NON-MICR,"COMMERCIAL BRANCH, SAKI NAKA"
STATE BANK OF INDIA,SBIN0060217,400008217,"MUMBAI, FOREIGN DEPARTMENT"
